FECHA;H01;H02;H03;H04;H05;H06;H07;H08;H09;H10;H11;H12;H13;H14;H15;H16;H17;H18;H19;H20;H21;H22;H23;H24;TOTAL
MATRIZ DE ENERGIA ACTIVA (ID:AGRADO);;;;;;;;;;;;;;;;;;;;;;;;;
1/10/2021;6,52;9,42;10,49;8,95;11,01;27,54;32,96;32,82;18,45;17;13,58;12,81;23,47;29,86;31,69;35,08;23,5;23,14;14,23;11,65;10,24;14,67;9,49;9,26;437,83
2/10/2021;6,13;10,01;10,66;12,06;15,34;26,58;33,17;28,83;15,82;13,47;13,38;26,05;33,51;37,36;38,07;34,85;19,44;22,86;19,09;11,63;12,65;13,87;12,24;7,93;475
3/10/2021;7,4;9,25;8,66;9,91;10,69;24,83;25,73;21,48;24,75;36,64;30,09;37,87;32,28;36,11;32,3;21,22;18,22;22,18;16,88;9,44;13,78;10,43;7,58;11,26;478,98
4/10/2021;6,61;9,4;9,11;9,8;10,83;23,88;28,9;29,03;18,1;21,38;11,73;21,95;26,35;30,67;32,59;33,09;20,75;23,5;16,49;11,23;10,67;13,82;10,8;10,49;441,17
5/10/2021;5,62;8,95;8,86;10,87;9,76;23,55;30,28;32,13;15,36;17,98;12,11;27,35;26,7;25,94;29,56;30,33;20,6;22,34;17,65;13,51;16,1;15,7;15,73;14,43;451,41
6/10/2021;9,3;12,16;12,73;12,92;14,03;26,96;32,33;25,21;18,57;12,02;17,17;24,8;22,32;14,52;20,9;28,33;17,99;20,89;15,4;11,09;9,68;15,58;11,03;9,2;415,13
7/10/2021;9,78;9,35;7,37;8,8;8,3;22,83;28,57;27,92;21,1;27,35;22,91;18,97;9,92;23,06;34,43;35,31;27,45;29,74;18,94;16,18;9,85;13,72;10,96;7,33;450,14
8/10/2021;7,22;13,34;20,89;19,57;18,8;28,23;26,81;28,08;19,45;13,03;9,07;18,52;19,82;25,56;34,56;28,21;22,06;21,67;15,45;11,35;9,84;11,3;9,09;5,89;437,81
9/10/2021;5,27;10,37;8,48;8,71;9,1;19,04;26,83;23,42;17,14;13,15;14,36;23;35,63;26,69;28,45;26,36;16,01;19,99;15,79;10,39;6,86;11,68;8,23;6,82;391,77
10/10/2021;5,14;6,61;11;8,91;7,55;20,24;22,75;16,57;12,04;24,79;25,66;23,33;22;23,47;25,08;23,77;13,23;16,44;13,24;9,08;9,54;13,04;7,37;5,7;366,55
11/10/2021;4,47;5,44;0;0;4,69;23,2;30,53;23,11;19,12;20,21;12,65;21,9;16,68;17,92;19,82;24,36;16,43;15,55;13,9;13,99;10,82;12,11;9,65;7,3;343,85
12/10/2021;5,98;5,56;6,47;9,3;9,55;19,71;27,13;30,04;22,57;16,91;15,71;29,36;29,9;29,62;22,88;29,39;15,8;16,73;13,71;11,55;11,9;14,11;7;8,39;409,27
13/10/2021;5,4;8,71;5,75;5,86;8,19;22,45;25,15;26,95;18,56;15,68;12,65;19,91;29,07;31,5;37,34;28,46;19,96;14,1;14,12;10,98;10,05;11,35;10,1;6,24;398,53
14/10/2021;7,46;7,99;5,42;7,55;7,66;20,23;31,21;24,56;27,25;26,35;22,06;8,48;12,95;25,39;37,15;26,17;18,4;13,39;11,05;10,68;6,5;8,12;7,07;8,54;381,63
15/10/2021;5,91;5,78;8,67;5,97;6,94;22,9;31,83;26,76;19,56;20,15;19,62;26,32;22,67;20,63;16,39;20,44;12,01;14,25;14,99;7,69;5,65;9,35;8,03;6,24;358,75
16/10/2021;4,94;6,55;8,78;6,6;5,87;22,87;26,27;20,14;22,38;15,48;19,55;16,11;16,14;30,91;26,96;23,41;12,28;17,07;12,08;8,6;11,54;10,1;7,86;5,53;358,02
17/10/2021;5,92;7,94;6,89;7,37;8,8;23,56;24,45;22,87;16,85;23,49;24,27;26,62;20,03;18,43;21,01;17,3;12,83;17,53;13,51;10,51;6,83;12,24;9,01;7,22;365,48
18/10/2021;5,76;7,93;7,53;7,9;6,41;25,6;31,65;31,13;17,56;17,53;18,85;26,47;21,35;19,53;18,7;18,87;12,42;15,89;14,25;9,1;6,24;10,79;8,52;6,73;366,71
